session_id,age,trial_num,condition,category
CDM_photodraw_e11533079944053,6,4,W,rabbit
CDM_photodraw_e11533079944053,6,5,W,shoe
CDM_photodraw_e11533079944053,6,6,W,train
CDM_photodraw_e11533079944053,6,7,W,cat
CDM_photodraw_e11533080485289,4,3,S,train
CDM_photodraw_e11533080485289,4,4,S,rabbit
CDM_photodraw_e11533080485289,4,5,S,cat
CDM_photodraw_e11533080485289,4,6,S,shoe
CDM_photodraw_e11533080485289,4,7,S,cup
CDM_photodraw_e11533145279933,5,3,W,rabbit
CDM_photodraw_e11533145279933,5,4,W,cat
CDM_photodraw_e11533145279933,5,5,W,cup
CDM_photodraw_e11533145279933,5,6,W,shoe
CDM_photodraw_e11533145279933,5,7,W,train
CDM_photodraw_e11533145985106,4,3,P,train
CDM_photodraw_e11533145985106,4,4,P,cat
CDM_photodraw_e11533145985106,4,5,P,shoe
CDM_photodraw_e11533145985106,4,6,P,rabbit
CDM_photodraw_e11533145985106,4,7,P,cup
CDM_photodraw_e11533146317748,7,3,P,shoe
CDM_photodraw_e11533146317748,7,4,P,rabbit
CDM_photodraw_e11533146317748,7,5,P,cup
CDM_photodraw_e11533146317748,7,6,P,train
CDM_photodraw_e11533146317748,7,7,P,cat
CDM_photodraw_e11533147693749,5,3,S,cat
CDM_photodraw_e11533147693749,5,4,S,train
CDM_photodraw_e11533147693749,5,5,S,cup
CDM_photodraw_e11533147693749,5,6,S,shoe
CDM_photodraw_e11533147693749,5,7,S,rabbit
CDM_photodraw_e11533147991237,6,3,W,train
CDM_photodraw_e11533147991237,6,4,W,rabbit
CDM_photodraw_e11533147991237,6,5,W,cat
CDM_photodraw_e11533147991237,6,6,W,shoe
CDM_photodraw_e11533147991237,6,7,W,cup
CDM_photodraw_e11533148420272,7,3,P,shoe
CDM_photodraw_e11533148420272,7,4,P,rabbit
CDM_photodraw_e11533148420272,7,5,P,cat
CDM_photodraw_e11533148420272,7,6,P,train
CDM_photodraw_e11533148420272,7,7,P,cup
CDM_photodraw_e11533148939408,5,3,S,train
CDM_photodraw_e11533148939408,5,6,S,shoe
CDM_photodraw_e11533148939408,5,7,S,cup
CDM_photodraw_e11533153765735,5,3,S,cup
CDM_photodraw_e11533153765735,5,4,S,cat
CDM_photodraw_e11533153765735,5,5,S,shoe
CDM_photodraw_e11533153765735,5,6,S,rabbit
CDM_photodraw_e11533153765735,5,7,S,train
CDM_photodraw_e11533154273996,5,3,W,rabbit
CDM_photodraw_e11533154273996,5,4,W,shoe
CDM_photodraw_e11533154273996,5,5,W,train
CDM_photodraw_e11533154273996,5,6,W,cup
CDM_photodraw_e11533154273996,5,7,W,cat
CDM_photodraw_e11533156255593,6,3,W,shoe
CDM_photodraw_e11533156255593,6,4,W,rabbit
CDM_photodraw_e11533156255593,6,5,W,train
CDM_photodraw_e11533156255593,6,6,W,cat
CDM_photodraw_e11533156255593,6,7,W,cup
CDM_photodraw_e11533156546289,7,3,P,cup
CDM_photodraw_e11533156546289,7,4,P,cat
CDM_photodraw_e11533156546289,7,5,P,shoe
CDM_photodraw_e11533156546289,7,6,P,train
CDM_photodraw_e11533156546289,7,7,P,rabbit
CDM_photodraw_e11533157120454,5,3,P,train
CDM_photodraw_e11533157120454,5,4,P,rabbit
CDM_photodraw_e11533157120454,5,5,P,shoe
CDM_photodraw_e11533157120454,5,6,P,cat
CDM_photodraw_e11533157120454,5,7,P,cup
CDM_photodraw_e11533157666476,5,3,W,shoe
CDM_photodraw_e11533157666476,5,4,W,cat
CDM_photodraw_e11533157666476,5,5,W,cup
CDM_photodraw_e11533157666476,5,6,W,train
CDM_photodraw_e11533157666476,5,7,W,rabbit
CDM_photodraw_e11533158163200,5,3,S,cat
CDM_photodraw_e11533158163200,5,4,S,shoe
CDM_photodraw_e11533158163200,5,5,S,rabbit
CDM_photodraw_e11533158163200,5,6,S,cup
CDM_photodraw_e11533158163200,5,7,S,train
CDM_photodraw_e11533159385631,6,3,S,cup
