,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
381,cdm_run_v21525285819658,0,square,age2,1525286006967.0,2018-05-02T18:33:26.967Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v21525285819658.png
382,cdm_run_v21525285819658,1,shape,age2,1525286022062.0,2018-05-02T18:33:42.062Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age2_cdm_run_v21525285819658.png
383,cdm_run_v21525286052437,0,square,age8,1525286899636.0,2018-05-02T18:48:19.636Z,10,11.225,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age8_cdm_run_v21525286052437.png
384,cdm_run_v21525286901090,0,square,age3,1525286923941.0,2018-05-02T18:48:43.941Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age3_cdm_run_v21525286901090.png
385,cdm_run_v21525286901090,1,shape,age3,1525286943688.0,2018-05-02T18:49:03.688Z,56,6.249,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age3_cdm_run_v21525286901090.png
386,cdm_run_v21525286901090,2,this circle,age3,1525286964238.0,2018-05-02T18:49:24.238Z,20,19.112,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age3_cdm_run_v21525286901090.png
387,cdm_run_v21525286901090,3,a fish,age3,1525286978035.0,2018-05-02T18:49:38.035Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age3_cdm_run_v21525286901090.png
388,cdm_run_v21525286901090,4,a car,age3,1525287014036.0,2018-05-02T18:50:14.036Z,12,20.744,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age3_cdm_run_v21525286901090.png
389,cdm_run_v21525286901090,5,a dog,age3,1525287033269.0,2018-05-02T18:50:33.269Z,6,1.943,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age3_cdm_run_v21525286901090.png
390,cdm_run_v21525286901090,6,a boat,age3,1525287049271.0,2018-05-02T18:50:49.271Z,11,6.875,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age3_cdm_run_v21525286901090.png
391,cdm_run_v21525286901090,7,a person,age3,1525287057657.0,2018-05-02T18:50:57.657Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age3_cdm_run_v21525286901090.png
