session_id,age,trial_num,condition,category
CDM_photodraw_e11533161870392,age5,4,S,rabbit
CDM_photodraw_e11533161870392,age5,5,S,shoe
CDM_photodraw_e11533161870392,age5,6,S,train
CDM_photodraw_e11533161870392,age5,7,S,cat
CDM_photodraw_e11533162144527,age5,3,W,cup
CDM_photodraw_e11533162144527,age5,4,W,shoe
CDM_photodraw_e11533162144527,age5,5,W,cat
CDM_photodraw_e11533162144527,age5,6,W,train
CDM_photodraw_e11533162144527,age5,7,W,rabbit
CDM_photodraw_e11533164692587,age4,3,P,rabbit
CDM_photodraw_e11533164692587,age4,4,P,train
CDM_photodraw_e11533164692587,age4,5,P,cup
CDM_photodraw_e11533164692587,age4,6,P,shoe
CDM_photodraw_e11533164692587,age4,7,P,cat
