,dist_target,dist_conf,session_id,age,target_class_label,conf_class_label
61,101.39360046386719,101.56639099121094,run_v31528223120387,3.0,a bird,a dog
62,50.474323272705078,51.979122161865234,run_v31528225564149,3.0,a bird,a dog
63,39.496620178222656,38.11834716796875,run_v31528227893962,3.0,a bird,a dog
64,43.728725433349609,43.556747436523438,run_v31528320599211,3.0,a bird,a dog
65,34.00677490234375,33.50408935546875,run_v31528483829261,3.0,a bird,a dog
66,92.272300720214844,91.245704650878906,run_v31528484999280,3.0,a bird,a dog
67,64.594406127929688,66.33056640625,run_v31528493399220,3.0,a bird,a dog
68,59.681137084960938,61.010578155517578,run_v31528501799028,3.0,a bird,a dog
69,65.599380493164062,64.613929748535156,run_v31528572105805,3.0,a bird,a dog
70,75.905784606933594,75.979141235351562,run_v31528579199179,3.0,a bird,a dog
71,58.494766235351562,58.765720367431641,run_v31528837199127,3.0,a bird,a dog
72,46.884761810302734,46.063266754150391,run_v31528916007888,3.0,a bird,a dog
73,38.213890075683594,37.922859191894531,run_v31528916399303,3.0,a bird,a dog
74,47.69805908203125,48.353240966796875,run_v31528917240117,3.0,a bird,a dog
75,46.969005584716797,48.271896362304688,run_v31528924199230,3.0,a bird,a dog
76,71.935699462890625,72.297805786132812,run_v31529015399141,3.0,a bird,a dog
77,45.207267761230469,46.730903625488281,run_v31529184066015,3.0,a bird,a dog
78,38.711055755615234,37.939113616943359,run_v31529344799299,3.0,a bird,a dog
79,46.107715606689453,47.216297149658203,run_v31529359199193,3.0,a bird,a dog
80,40.754451751708984,41.626274108886719,run_v31529362393876,3.0,a bird,a dog
81,54.755367279052734,53.423439025878906,run_v31529447016526,3.0,a bird,a dog
82,47.817390441894531,49.64984130859375,run_v31529519399222,3.0,a bird,a dog
83,39.708114624023438,39.785717010498047,run_v31529529599232,3.0,a bird,a dog
84,47.925437927246094,48.723506927490234,run_v31529620425204,3.0,a bird,a dog
85,83.848037719726562,83.567115783691406,run_v31529703215425,3.0,a bird,a dog
86,62.716972351074219,63.037734985351562,run_v31529706001344,3.0,a bird,a dog
87,42.115798950195312,43.414745330810547,run_v31530313164406,3.0,a bird,a dog
88,63.857105255126953,64.039657592773438,run_v31530382112100,3.0,a bird,a dog
89,38.221641540527344,37.843791961669922,run_v31530391557087,3.0,a bird,a dog
90,41.89984130859375,42.643081665039062,run_v31530475738016,3.0,a bird,a dog
