"","workerid","rating","imageName","condition","imNameShort","category","age","sessionId","correct"
"179","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/cup_sketch_CDM_photodraw_e11533080485289_S_age4.png","S","cup_sketch_CDM_photodraw_e11533080485289_S_age4.png","cup",4,"e11533080485289",TRUE
"180","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/rabbit_sketch_CDM_photodraw_e11533164692587_P_age4.png","P","rabbit_sketch_CDM_photodraw_e11533164692587_P_age4.png","rabbit",4,"e11533164692587",FALSE
"181","a39a0cfcbf4e44546d260ccc1464ca19","train","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/shoe_sketch_CDM_photodraw_e11532111112405_S_age7.png","S","shoe_sketch_CDM_photodraw_e11532111112405_S_age7.png","shoe",7,"e11532111112405",FALSE
"182","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/train_sketch_CDM_photodraw_e11533145985106_P_age4.png","P","train_sketch_CDM_photodraw_e11533145985106_P_age4.png","train",4,"e11533145985106",FALSE
"183","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/cup_sketch_CDM_photodraw_e11533158163200_S_age5.png","S","cup_sketch_CDM_photodraw_e11533158163200_S_age5.png","cup",5,"e11533158163200",TRUE
"184","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532462743178_P_age6.png","P","shoe_sketch_CDM_photodraw_e11532462743178_P_age6.png","shoe",6,"e11532462743178",TRUE
"185","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cup_sketch_CDM_photodraw_e11532547010484_W_age6.png","W","cup_sketch_CDM_photodraw_e11532547010484_W_age6.png","cup",6,"e11532547010484",TRUE
"186","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532559138714_P_age5.png","P","cup_sketch_CDM_photodraw_e11532559138714_P_age5.png","cup",5,"e11532559138714",TRUE
"187","a39a0cfcbf4e44546d260ccc1464ca19","rabbit","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/rabbit_sketch_CDM_photodraw_e11533154273996_W_age5.png","W","rabbit_sketch_CDM_photodraw_e11533154273996_W_age5.png","rabbit",5,"e11533154273996",TRUE
"188","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532553232054_P_age6.png","P","shoe_sketch_CDM_photodraw_e11532553232054_P_age6.png","shoe",6,"e11532553232054",TRUE
