session_id,category,age,num_strokes,draw_duration_old,draw_duration_new,mean_intensity,age_numeric,filename
cdm_run_v41545860914475,a bear,age10,20,22.58,0,0.0514787946428571,10,bear_sketch_age10_cdm_run_v41545860914475.png
cdm_run_v41545862658084,a bear,age10,16,12.986,0,0.0411551339285714,10,bear_sketch_age10_cdm_run_v41545862658084.png
cdm_run_v41545867562797,a bear,age10,12,17.905,0,0.0355548469387755,10,bear_sketch_age10_cdm_run_v41545867562797.png
cdm_run_v41545929999684,a bear,age10,11,9.836,0,0.0469547193877551,10,bear_sketch_age10_cdm_run_v41545929999684.png
cdm_run_v41545941833837,a bear,age10,13,8.038,0,0.0474330357142857,10,bear_sketch_age10_cdm_run_v41545941833837.png
cdm_run_v41546028882659,a bear,age10,3,11.213,0,0.0356345663265306,10,bear_sketch_age10_cdm_run_v41546028882659.png
cdm_run_v41546117999683,a bear,age10,9,10.376,0,0.0453005420918367,10,bear_sketch_age10_cdm_run_v41546117999683.png
cdm_run_v41546118632319,a bear,age10,7,5.575,0,0.0443439094387755,10,bear_sketch_age10_cdm_run_v41546118632319.png
cdm_run_v41547331220246,a bear,age10,7,3.101,0,0.0378467793367347,10,bear_sketch_age10_cdm_run_v41547331220246.png
cdm_run_v41547417355134,a bear,age10,7,5.158,0,0.0264269770408163,10,bear_sketch_age10_cdm_run_v41547417355134.png
cdm_run_v41547846078648,a bear,age10,6,5.235,0,0.056740274234693903,10,bear_sketch_age10_cdm_run_v41547846078648.png
cdm_run_v41548117589993,a bear,age10,10,8.879,0,0.0427295918367347,10,bear_sketch_age10_cdm_run_v41548117589993.png
cdm_run_v41548369778878,a bear,age10,13,12.276,0,0.0378467793367347,10,bear_sketch_age10_cdm_run_v41548369778878.png
cdm_run_v41548536354828,a bear,age10,16,17.613,0,0.0875518176020408,10,bear_sketch_age10_cdm_run_v41548536354828.png
cdm_run_v41548544845781,a bear,age10,13,21.244,0,0.0615832270408163,10,bear_sketch_age10_cdm_run_v41548544845781.png
cdm_run_v41548628603116,a bear,age10,22,26.849,0,0.0707509566326531,10,bear_sketch_age10_cdm_run_v41548628603116.png
cdm_run_v41548880175009,a bear,age10,20,16.156,0,0.0652104591836735,10,bear_sketch_age10_cdm_run_v41548880175009.png
cdm_run_v41549140700089,a bear,age10,17,23.625,0,0.0790617028061224,10,bear_sketch_age10_cdm_run_v41549140700089.png
cdm_run_v41549240185154,a bear,age10,13,10.241,0,0.0520966198979592,10,bear_sketch_age10_cdm_run_v41549240185154.png
cdm_run_v41549402843821,a bear,age10,11,10.235,0,0.0598692602040816,10,bear_sketch_age10_cdm_run_v41549402843821.png
cdm_run_v41549752782037,a bear,age10,5,5.299,0,0.0264269770408163,10,bear_sketch_age10_cdm_run_v41549752782037.png
cdm_run_v41549830823928,a bear,age10,14,20.07,0,0.054328762755102,10,bear_sketch_age10_cdm_run_v41549830823928.png
cdm_run_v41549831011112,a bear,age10,15,18.129,0,0.0777463329081633,10,bear_sketch_age10_cdm_run_v41549831011112.png
