category,condition,subID,image_name,age_numeric,filename
chair,P,010919_2,images_photocues/chair_3.png,7,photodraw2_all_sketches/chair/P_chair_sketch_age7_CDM_photodraw_e21547061122742.png
cup,P,011819_4,images_photocues/cup_2.png,7,photodraw2_all_sketches/cup/P_cup_sketch_age7_CDM_photodraw_e21547844653939.png
cup,P,111418_6,images_photocues/cup_1.png,7,photodraw2_all_sketches/cup/P_cup_sketch_age7_CDM_photodraw_e21542224706912.png
hat,P,012119_6,images_photocues/hat_2.png,7,photodraw2_all_sketches/hat/P_hat_sketch_age7_CDM_photodraw_e21548098930405.png
hat,S,012119_3,images_photocues/hat_2.png,7,photodraw2_all_sketches/hat/S_hat_sketch_age7_CDM_photodraw_e21548096758313.png
house,S,012519_1,images_photocues/house_1.png,7,photodraw2_all_sketches/house/S_house_sketch_age7_CDM_photodraw_e21548441283760.png
house,P,012119_5,images_photocues/house_2.png,7,photodraw2_all_sketches/house/P_house_sketch_age7_CDM_photodraw_e21548098146005.png
rabbit,S,013119_1,images_photocues/rabbit_3.png,7,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age7_CDM_photodraw_e21548958550335.png
rabbit,P,012519_5,images_photocues/rabbit_3.png,7,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age7_CDM_photodraw_e21548451831175.png
tree,S,121819_3,images_photocues/tree_1.png,7,photodraw2_all_sketches/tree/S_tree_sketch_age7_CDM_photodraw_e21545255476223.png
tree,P,013119_1,images_photocues/tree_2.png,7,photodraw2_all_sketches/tree/P_tree_sketch_age7_CDM_photodraw_e21548958550335.png
watch,S,121819_3,images_photocues/watch_3.png,7,photodraw2_all_sketches/watch/S_watch_sketch_age7_CDM_photodraw_e21545255476223.png
watch,S,011119_10,images_photocues/watch_2.png,7,photodraw2_all_sketches/watch/S_watch_sketch_age7_CDM_photodraw_e21547242571962.png
airplane,S,012119_8,images_photocues/airplane_3.png,8,photodraw2_all_sketches/airplane/S_airplane_sketch_age8_CDM_photodraw_e21548104824451.png
airplane,S,012119_9,images_photocues/airplane_2.png,8,photodraw2_all_sketches/airplane/S_airplane_sketch_age8_CDM_photodraw_e21548105648196.png
bike,S,011619_8,images_photocues/bike_3.png,8,photodraw2_all_sketches/bike/S_bike_sketch_age8_CDM_photodraw_e21547674347301.png
bike,P,012119_8,images_photocues/bike_2.png,8,photodraw2_all_sketches/bike/P_bike_sketch_age8_CDM_photodraw_e21548104824451.png
bird,S,022019_2,images_photocues/bird_1.png,8,photodraw2_all_sketches/bird/S_bird_sketch_age8_CDM_photodraw_e21550689187843.png
bird,P,022019_5,images_photocues/bird_2.png,8,photodraw2_all_sketches/bird/P_bird_sketch_age8_CDM_photodraw_e21550696453174.png
car,S,012119_9,images_photocues/car_2.png,8,photodraw2_all_sketches/car/S_car_sketch_age8_CDM_photodraw_e21548105648196.png
car,S,011819_6,images_photocues/car_2.png,8,photodraw2_all_sketches/car/S_car_sketch_age8_CDM_photodraw_e21547845878342.png
cat,S,011119_2,images_photocues/cat_3.png,8,photodraw2_all_sketches/cat/S_cat_sketch_age8_CDM_photodraw_e21547232289747.png
cat,S,012119_9,images_photocues/cat_3.png,8,photodraw2_all_sketches/cat/S_cat_sketch_age8_CDM_photodraw_e21548105648196.png
chair,S,012119_7,images_photocues/chair_3.png,8,photodraw2_all_sketches/chair/S_chair_sketch_age8_CDM_photodraw_e21548100335223.png
chair,P,012119_2,images_photocues/chair_2.png,8,photodraw2_all_sketches/chair/P_chair_sketch_age8_CDM_photodraw_e21548096119835.png
cup,P,012519_3,images_photocues/cup_3.png,8,photodraw2_all_sketches/cup/P_cup_sketch_age8_CDM_photodraw_e21548449754672.png
cup,P,022019_3,images_photocues/cup_2.png,8,photodraw2_all_sketches/cup/P_cup_sketch_age8_CDM_photodraw_e21550690726876.png
hat,P,012119_9,images_photocues/hat_2.png,8,photodraw2_all_sketches/hat/P_hat_sketch_age8_CDM_photodraw_e21548105648196.png
hat,S,011119_2,images_photocues/hat_2.png,8,photodraw2_all_sketches/hat/S_hat_sketch_age8_CDM_photodraw_e21547232289747.png
house,S,012119_9,images_photocues/house_2.png,8,photodraw2_all_sketches/house/S_house_sketch_age8_CDM_photodraw_e21548105648196.png
house,S,022019_5,images_photocues/house_1.png,8,photodraw2_all_sketches/house/S_house_sketch_age8_CDM_photodraw_e21550696453174.png
rabbit,P,022019_1,images_photocues/rabbit_3.png,8,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age8_CDM_photodraw_e21550687622483.png
rabbit,P,011619_9,images_photocues/rabbit_3.png,8,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age8_CDM_photodraw_e21547677339884.png
tree,P,011119_6,images_photocues/tree_2.png,8,photodraw2_all_sketches/tree/P_tree_sketch_age8_CDM_photodraw_e21547238752953.png
tree,S,011819_9,images_photocues/tree_1.png,8,photodraw2_all_sketches/tree/S_tree_sketch_age8_CDM_photodraw_e21547849501667.png
watch,S,011819_9,images_photocues/watch_1.png,8,photodraw2_all_sketches/watch/S_watch_sketch_age8_CDM_photodraw_e21547849501667.png
watch,P,011119_6,images_photocues/watch_1.png,8,photodraw2_all_sketches/watch/P_watch_sketch_age8_CDM_photodraw_e21547238752953.png
