category,condition,subID,image_name,age_numeric,filename
bird,S,011619_7,images_photocues/bird_1.png,4,photodraw2_all_sketches/bird/S_bird_sketch_age4_CDM_photodraw_e21547673281903.png
tree,S,011619_9,images_photocues/tree_3.png,8,photodraw2_all_sketches/tree/S_tree_sketch_age8_CDM_photodraw_e21547677339884.png
car,S,011819_1,images_photocues/car_3.png,6,photodraw2_all_sketches/car/S_car_sketch_age6_CDM_photodraw_e21547834597252.png
cup,P,011819_1,images_photocues/cup_3.png,6,photodraw2_all_sketches/cup/P_cup_sketch_age6_CDM_photodraw_e21547834597252.png
bike,P,011819_1,images_photocues/bike_3.png,6,photodraw2_all_sketches/bike/P_bike_sketch_age6_CDM_photodraw_e21547834597252.png
bird,S,011819_3,images_photocues/bird_3.png,6,photodraw2_all_sketches/bird/S_bird_sketch_age6_CDM_photodraw_e21547836732785.png
tree,P,011819_4,images_photocues/tree_1.png,7,photodraw2_all_sketches/tree/P_tree_sketch_age7_CDM_photodraw_e21547844653939.png
house,S,011819_5,images_photocues/house_1.png,6,photodraw2_all_sketches/house/S_house_sketch_age6_CDM_photodraw_e21547845453981.png
rabbit,P,011819_5,images_photocues/rabbit_1.png,6,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age6_CDM_photodraw_e21547845453981.png
airplane,P,011819_5,images_photocues/airplane_2.png,6,photodraw2_all_sketches/airplane/P_airplane_sketch_age6_CDM_photodraw_e21547845453981.png
cat,S,011819_6,images_photocues/cat_2.png,8,photodraw2_all_sketches/cat/S_cat_sketch_age8_CDM_photodraw_e21547845878342.png
car,P,011819_8,images_photocues/car_2.png,6,photodraw2_all_sketches/car/P_car_sketch_age6_CDM_photodraw_e21547849081297.png
house,S,011819_9,images_photocues/house_2.png,8,photodraw2_all_sketches/house/S_house_sketch_age8_CDM_photodraw_e21547849501667.png
tree,S,0111819_10,images_photocues/tree_3.png,4,photodraw2_all_sketches/tree/S_tree_sketch_age4_CDM_photodraw_e21547849860466.png
airplane,P,0111819_10,images_photocues/airplane_2.png,4,photodraw2_all_sketches/airplane/P_airplane_sketch_age4_CDM_photodraw_e21547849860466.png
bird,P,012119_1,images_photocues/bird_2.png,6,photodraw2_all_sketches/bird/P_bird_sketch_age6_CDM_photodraw_e21548094649748.png
bird,S,012119_4,images_photocues/bird_3.png,6,photodraw2_all_sketches/bird/S_bird_sketch_age6_CDM_photodraw_e21548097384364.png
cup,S,012119_6,images_photocues/cup_3.png,7,photodraw2_all_sketches/cup/S_cup_sketch_age7_CDM_photodraw_e21548098930405.png
bird,P,012119_7,images_photocues/bird_3.png,8,photodraw2_all_sketches/bird/P_bird_sketch_age8_CDM_photodraw_e21548100335223.png
bike,P,012119_7,images_photocues/bike_3.png,8,photodraw2_all_sketches/bike/P_bike_sketch_age8_CDM_photodraw_e21548100335223.png
house,S,012119_7,images_photocues/house_2.png,8,photodraw2_all_sketches/house/S_house_sketch_age8_CDM_photodraw_e21548100335223.png
tree,S,012119_10,images_photocues/tree_3.png,7,photodraw2_all_sketches/tree/S_tree_sketch_age7_CDM_photodraw_e21548106388954.png
watch,P,012119_10,images_photocues/watch_2.png,7,photodraw2_all_sketches/watch/P_watch_sketch_age7_CDM_photodraw_e21548106388954.png
chair,P,012119_10,images_photocues/chair_2.png,7,photodraw2_all_sketches/chair/P_chair_sketch_age7_CDM_photodraw_e21548106388954.png
bird,P,012119_11,images_photocues/bird_2.png,7,photodraw2_all_sketches/bird/P_bird_sketch_age7_CDM_photodraw_e21548107987673.png
house,S,012519_1,images_photocues/house_1.png,7,photodraw2_all_sketches/house/S_house_sketch_age7_CDM_photodraw_e21548441283760.png
rabbit,P,012519_1,images_photocues/rabbit_1.png,7,photodraw2_all_sketches/rabbit/P_rabbit_sketch_age7_CDM_photodraw_e21548441283760.png
cat,P,012519_1,images_photocues/cat_3.png,7,photodraw2_all_sketches/cat/P_cat_sketch_age7_CDM_photodraw_e21548441283760.png
rabbit,S,012519_3,images_photocues/rabbit_2.png,8,photodraw2_all_sketches/rabbit/S_rabbit_sketch_age8_CDM_photodraw_e21548449754672.png
