,_id,shuffler_ind,url,age,session_id,filename,games,fileNameShortNew,class,updatedAt,numGames
2617,5f5c100daa5864590371c79d,4740,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51556394232467.png,age10,cdm_run_v51556394232467,hat_sketch_age10_cdm_run_v51556394232467.png,"['5d588e3c7e1b9500018ae948', '5f036fa191b83b566b3ff142']",hat_sketch_age10_cdm_run_v51556394232467.png,a hat,2020-09-15 00:21:18.191,2
2618,5f5c100daa5864590371c79e,4370,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51556485852556.png,age10,cdm_run_v51556485852556,hat_sketch_age10_cdm_run_v51556485852556.png,"['5c2e21bf2c45d400014a9121', '5f591c706c0a8f11f637115e']",hat_sketch_age10_cdm_run_v51556485852556.png,a hat,2020-09-14 22:41:47.127,2
2619,5f5c100daa5864590371c79f,317,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51556653766800.png,age10,cdm_run_v51556653766800,hat_sketch_age10_cdm_run_v51556653766800.png,"['5f58cb1aded8e506a3a3ab84', '5c35e6227c152d0001acddbd', '5ef51591141eff162b9a5e89']",hat_sketch_age10_cdm_run_v51556653766800.png,a hat,2020-09-15 00:29:13.358,3
2620,5f5c100daa5864590371c7a0,7158,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51556909486821.png,age10,cdm_run_v51556909486821,hat_sketch_age10_cdm_run_v51556909486821.png,"['5f400938427f570ee6781225', '5f347f7a0bfd1e3a18693ec3']",hat_sketch_age10_cdm_run_v51556909486821.png,a hat,2020-09-15 00:24:14.914,2
2621,5f5c100daa5864590371c7a1,1817,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51557701630813.png,age10,cdm_run_v51557701630813,hat_sketch_age10_cdm_run_v51557701630813.png,"['5ee95a4c2a64f72f5d95a2fc', '5f56a4525e6f8a0fc2596d89', '5f3e6467a097d9057137d439']",hat_sketch_age10_cdm_run_v51557701630813.png,a hat,2020-09-15 17:20:16.001,3
2622,5f5c100daa5864590371c7a2,1983,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51558303815609.png,age10,cdm_run_v51558303815609,hat_sketch_age10_cdm_run_v51558303815609.png,"['5e6f0e51374f5b4c6858fc9c', '5f21351894d0f84b05a40331', '5f1091aa4bd173363a9700ec']",hat_sketch_age10_cdm_run_v51558303815609.png,a hat,2020-09-15 17:20:49.471,3
2623,5f5c100daa5864590371c7a3,4036,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51558304097330.png,age10,cdm_run_v51558304097330,hat_sketch_age10_cdm_run_v51558304097330.png,"['5f54dec7364a0485d880f139', '5f56586779a86f05faa07be4']",hat_sketch_age10_cdm_run_v51558304097330.png,a hat,2020-09-14 22:12:13.592,2
2624,5f5c100daa5864590371c7a4,6208,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51558305026405.png,age10,cdm_run_v51558305026405,hat_sketch_age10_cdm_run_v51558305026405.png,"['5ec259bf5450f10288c82f75', '5f3e31e2769ffb267b9d1a24']",hat_sketch_age10_cdm_run_v51558305026405.png,a hat,2020-09-15 00:23:28.360,2
2625,5f5c100daa5864590371c7a5,3295,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51558648467662.png,age10,cdm_run_v51558648467662,hat_sketch_age10_cdm_run_v51558648467662.png,"['5dfa87ae0562057caa68989c', '5f2ea9c0a638c92312e4ae5c', '5f343c0102886030ce1fa987']",hat_sketch_age10_cdm_run_v51558648467662.png,a hat,2020-09-15 17:39:54.022,3
2626,5f5c100daa5864590371c7a6,7088,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51558733318532.png,age10,cdm_run_v51558733318532,hat_sketch_age10_cdm_run_v51558733318532.png,"['5eb31c43266e390fe7e69ada', '5f347f7a0bfd1e3a18693ec3']",hat_sketch_age10_cdm_run_v51558733318532.png,a hat,2020-09-15 00:24:14.914,2
2627,5f5c100daa5864590371c7a7,727,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51558997412939.png,age10,cdm_run_v51558997412939,hat_sketch_age10_cdm_run_v51558997412939.png,"['5f0f15292ef17304b8630947', '5accd8f7bf2ab00001aa8162', '5e4044797946592823cbec2a']",hat_sketch_age10_cdm_run_v51558997412939.png,a hat,2020-09-15 00:36:11.277,3
2628,5f5c100daa5864590371c7a8,1834,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51559431165985.png,age10,cdm_run_v51559431165985,hat_sketch_age10_cdm_run_v51559431165985.png,"['5ee95a4c2a64f72f5d95a2fc', '5f56a4525e6f8a0fc2596d89', '5f3e6467a097d9057137d439']",hat_sketch_age10_cdm_run_v51559431165985.png,a hat,2020-09-15 17:20:16.001,3
2629,5f5c100daa5864590371c7a9,6959,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51559431308901.png,age10,cdm_run_v51559431308901,hat_sketch_age10_cdm_run_v51559431308901.png,"['5eb31c43266e390fe7e69ada', '5daa50967776b10016e1bc9b']",hat_sketch_age10_cdm_run_v51559431308901.png,a hat,2020-09-15 00:24:02.310,2
2630,5f5c100daa5864590371c7aa,6325,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51559587270936.png,age10,cdm_run_v51559587270936,hat_sketch_age10_cdm_run_v51559587270936.png,"['5ada4c19dfcfcb0001e67505', '5f3e31e2769ffb267b9d1a24']",hat_sketch_age10_cdm_run_v51559587270936.png,a hat,2020-09-15 00:23:28.360,2
2631,5f5c100daa5864590371c7ab,447,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51559587985191.png,age10,cdm_run_v51559587985191,hat_sketch_age10_cdm_run_v51559587985191.png,"['5adfa601eb6040000153a828', '5c950788de4d6c001bc077c7', '5ef51591141eff162b9a5e89']",hat_sketch_age10_cdm_run_v51559587985191.png,a hat,2020-09-15 00:29:13.358,3
2632,5f5c100daa5864590371c7ac,4675,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51559687293125.png,age10,cdm_run_v51559687293125,hat_sketch_age10_cdm_run_v51559687293125.png,"['5d588e3c7e1b9500018ae948', '5f036fa191b83b566b3ff142']",hat_sketch_age10_cdm_run_v51559687293125.png,a hat,2020-09-15 00:21:18.191,2
2633,5f5c100daa5864590371c7ad,3297,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51559931857561.png,age10,cdm_run_v51559931857561,hat_sketch_age10_cdm_run_v51559931857561.png,"['5dfa87ae0562057caa68989c', '5f2ea9c0a638c92312e4ae5c', '5f343c0102886030ce1fa987']",hat_sketch_age10_cdm_run_v51559931857561.png,a hat,2020-09-15 17:39:54.022,3
2634,5f5c100eaa5864590371c7ae,6624,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51560283660004.png,age10,cdm_run_v51560283660004,hat_sketch_age10_cdm_run_v51560283660004.png,"['5efb934059dba21145bee143', '5f2f2e85c14511319b159fff']",hat_sketch_age10_cdm_run_v51560283660004.png,a hat,2020-09-15 00:23:33.005,2
2635,5f5c100eaa5864590371c7af,2843,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51560456721746.png,age10,cdm_run_v51560456721746,hat_sketch_age10_cdm_run_v51560456721746.png,"['5f13ea64399eaf40ff6c1b90', '5d7fdc371c09e60001dd48f5', '5e4163548d2f1501e5a696f8']",hat_sketch_age10_cdm_run_v51560456721746.png,a hat,2020-09-15 17:36:27.153,3
2636,5f5c100eaa5864590371c7b0,6460,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51560456908521.png,age10,cdm_run_v51560456908521,hat_sketch_age10_cdm_run_v51560456908521.png,"['5f2b24c4224df7527baee383', '56504ecf1b3cda000f544e92']",hat_sketch_age10_cdm_run_v51560456908521.png,a hat,2020-09-15 00:23:31.994,2
2637,5f5c100eaa5864590371c7b1,4789,https://kiddraw.s3.amazonaws.com/hat_sketch_age10_cdm_run_v51560457419899.png,age10,cdm_run_v51560457419899,hat_sketch_age10_cdm_run_v51560457419899.png,"['5d588e3c7e1b9500018ae948', '5ed9c0336cb961557325f482']",hat_sketch_age10_cdm_run_v51560457419899.png,a hat,2020-09-15 00:21:59.755,2
2638,5f5c100eaa5864590371c7b2,3389,https://kiddraw.s3.amazonaws.com/hat_sketch_age2_cdm_run_v51551475686829.png,age2,cdm_run_v51551475686829,hat_sketch_age2_cdm_run_v51551475686829.png,"['5f3065661c8a6913493aaf71', '5f470672f3dba20e09ddf036', '5d4602322f66d0001a1208c7']",hat_sketch_age2_cdm_run_v51551475686829.png,a hat,2020-09-15 17:55:38.067,3
2639,5f5c100eaa5864590371c7b3,6970,https://kiddraw.s3.amazonaws.com/hat_sketch_age2_cdm_run_v51551475922387.png,age2,cdm_run_v51551475922387,hat_sketch_age2_cdm_run_v51551475922387.png,"['5eb31c43266e390fe7e69ada', '5daa50967776b10016e1bc9b']",hat_sketch_age2_cdm_run_v51551475922387.png,a hat,2020-09-15 00:24:02.310,2
2640,5f5c100eaa5864590371c7b4,3181,https://kiddraw.s3.amazonaws.com/hat_sketch_age2_cdm_run_v51551556208568.png,age2,cdm_run_v51551556208568,hat_sketch_age2_cdm_run_v51551556208568.png,"['5f523995183f704a6eda05e3', '5f2ea9c0a638c92312e4ae5c', '5eaebd6429cb5202dcb326ea']",hat_sketch_age2_cdm_run_v51551556208568.png,a hat,2020-09-15 17:37:07.278,3
2641,5f5c100eaa5864590371c7b5,6159,https://kiddraw.s3.amazonaws.com/hat_sketch_age2_cdm_run_v51551565175678.png,age2,cdm_run_v51551565175678,hat_sketch_age2_cdm_run_v51551565175678.png,"['5ec259bf5450f10288c82f75', '5f4deb2cc3368e9b3de01170']",hat_sketch_age2_cdm_run_v51551565175678.png,a hat,2020-09-15 00:23:27.910,2
2642,5f5c100eaa5864590371c7b6,1474,https://kiddraw.s3.amazonaws.com/hat_sketch_age2_cdm_run_v51551570430178.png,age2,cdm_run_v51551570430178,hat_sketch_age2_cdm_run_v51551570430178.png,"['5ea8c40504081a31ebd22b41', '5bf8576a213d45000163b5ab', '5c5744cfb7cf140001d39d81']",hat_sketch_age2_cdm_run_v51551570430178.png,a hat,2020-09-15 17:19:58.783,3
2643,5f5c100eaa5864590371c7b7,2036,https://kiddraw.s3.amazonaws.com/hat_sketch_age2_cdm_run_v51551641090157.png,age2,cdm_run_v51551641090157,hat_sketch_age2_cdm_run_v51551641090157.png,"['5e6f0e51374f5b4c6858fc9c', '58ab1b3c32c2cc0001cd2bed', '5f1091aa4bd173363a9700ec']",hat_sketch_age2_cdm_run_v51551641090157.png,a hat,2020-09-15 17:20:49.471,3
