,_id,session_id,class,age,fileNameShortNew,filename,url,shuffler_ind,games,updatedAt,numGames
3878,5f6121a39d2bb9d2b91ada6b,cdm_run_v61566075685023,a horse,age4,horse_sketch_age4_cdm_run_v61566075685023.png,horse_sketch_age4_cdm_run_v61566075685023.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566075685023.png,4796,"['5ae0c7d4e0feeb0001caff2b', '5c79bc94d454af00160e2eee']",2020-09-16 18:09:01.781,2
3879,5f6121a39d2bb9d2b91ada6c,cdm_run_v61566164617221,a horse,age4,horse_sketch_age4_cdm_run_v61566164617221.png,horse_sketch_age4_cdm_run_v61566164617221.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566164617221.png,3833,"['5d278cc85e946f001b305b46', '5cd4851bcde03300016d240f']",2020-09-16 18:07:02.516,2
3880,5f6121a39d2bb9d2b91ada6d,cdm_run_v61566164929763,a horse,age4,horse_sketch_age4_cdm_run_v61566164929763.png,horse_sketch_age4_cdm_run_v61566164929763.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566164929763.png,3541,"['5b4b1ef3b8b20a00015a33a2', '5c28113978fad50001932f58']",2020-09-16 18:06:53.847,2
3881,5f6121a39d2bb9d2b91ada6e,cdm_run_v61566169839876,a horse,age4,horse_sketch_age4_cdm_run_v61566169839876.png,horse_sketch_age4_cdm_run_v61566169839876.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566169839876.png,4459,"['5d128639c5b76100165f832a', '5d12803df8388b00193c69cb']",2020-09-16 18:07:38.663,2
3882,5f6121a39d2bb9d2b91ada6f,cdm_run_v61566171315439,a horse,age4,horse_sketch_age4_cdm_run_v61566171315439.png,horse_sketch_age4_cdm_run_v61566171315439.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566171315439.png,3691,"['5d278cc85e946f001b305b46', '5c28113978fad50001932f58']",2020-09-16 18:06:53.847,2
3883,5f6121a39d2bb9d2b91ada70,cdm_run_v61566240795493,a horse,age4,horse_sketch_age4_cdm_run_v61566240795493.png,horse_sketch_age4_cdm_run_v61566240795493.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566240795493.png,5126,"['5d6ee372f52ee2001b314d3a', '5d51a96b5054110015905fd9']",2020-09-16 18:09:14.921,2
3884,5f6121a39d2bb9d2b91ada71,cdm_run_v61566412118967,a horse,age4,horse_sketch_age4_cdm_run_v61566412118967.png,horse_sketch_age4_cdm_run_v61566412118967.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566412118967.png,9954,"['5f0def6e6b19350d95cfb5f6', '5f4a761d2a3d075f5bf652cc']",2020-09-16 18:50:12.121,2
3885,5f6121a39d2bb9d2b91ada72,cdm_run_v61566424327323,a horse,age4,horse_sketch_age4_cdm_run_v61566424327323.png,horse_sketch_age4_cdm_run_v61566424327323.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566424327323.png,4469,"['5d128639c5b76100165f832a', '5d12803df8388b00193c69cb']",2020-09-16 18:07:38.663,2
3886,5f6121a39d2bb9d2b91ada73,cdm_run_v61566430906699,a horse,age4,horse_sketch_age4_cdm_run_v61566430906699.png,horse_sketch_age4_cdm_run_v61566430906699.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566430906699.png,5000,"['5ae0c7d4e0feeb0001caff2b', '5d51a96b5054110015905fd9']",2020-09-16 18:09:14.921,2
3887,5f6121a39d2bb9d2b91ada74,cdm_run_v61566502747073,a horse,age4,horse_sketch_age4_cdm_run_v61566502747073.png,horse_sketch_age4_cdm_run_v61566502747073.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566502747073.png,1344,"['5f23168ae0d0d0074122da0f', '5791dae225cb71000128ad5b', '5eff6065cc8d32014292657f']",2020-09-16 18:51:57.213,3
3888,5f6121a39d2bb9d2b91ada75,cdm_run_v61566509674816,a horse,age4,horse_sketch_age4_cdm_run_v61566509674816.png,horse_sketch_age4_cdm_run_v61566509674816.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566509674816.png,2533,"['5ea4755290dbcf4256824f4a', '5b5cab744e945800017d9daf', '5f33ff8e16dac32741bf2b90']",2020-09-16 18:54:18.136,3
3889,5f6121a39d2bb9d2b91ada76,cdm_run_v61566510458191,a horse,age4,horse_sketch_age4_cdm_run_v61566510458191.png,horse_sketch_age4_cdm_run_v61566510458191.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566510458191.png,3964,"['5c1d234d89f035000172aeb7', '5d3821f0ddea5a0001757f93']",2020-09-16 18:07:08.709,2
3890,5f6121a39d2bb9d2b91ada77,cdm_run_v61566514944777,a horse,age4,horse_sketch_age4_cdm_run_v61566514944777.png,horse_sketch_age4_cdm_run_v61566514944777.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566514944777.png,5430,"['5f14cce2a936e90e353d6618', '5ef464392e23e1000bd397d7']",2020-09-16 18:09:54.453,2
3891,5f6121a39d2bb9d2b91ada78,cdm_run_v61566581056223,a horse,age4,horse_sketch_age4_cdm_run_v61566581056223.png,horse_sketch_age4_cdm_run_v61566581056223.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566581056223.png,1573,"['5f02825de3eda5141350189f', '5f48824e219f12344fac6a3c', '5e781af820ab3539e4f2b723']",2020-09-16 18:52:16.087,3
3892,5f6121a39d2bb9d2b91ada79,cdm_run_v61566583692230,a horse,age4,horse_sketch_age4_cdm_run_v61566583692230.png,horse_sketch_age4_cdm_run_v61566583692230.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566583692230.png,7119,"['5d2a1e945768fd0017a7641d', '5eb5909b7a289b457eee9642']",2020-09-16 18:12:12.744,2
3893,5f6121a39d2bb9d2b91ada7a,cdm_run_v61566588221798,a horse,age4,horse_sketch_age4_cdm_run_v61566588221798.png,horse_sketch_age4_cdm_run_v61566588221798.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566588221798.png,8660,"['5ebee3b533dc312a4636028a', '59d65ad8e2762800015eb51b']",2020-09-16 18:17:19.191,2
3894,5f6121a39d2bb9d2b91ada7b,cdm_run_v61566588780112,a horse,age4,horse_sketch_age4_cdm_run_v61566588780112.png,horse_sketch_age4_cdm_run_v61566588780112.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566588780112.png,8853,"['5e2fb94ce0512d563ef46990', '5f479154dc1bde17b64d7eb5']",2020-09-16 18:18:17.328,2
3895,5f6121a39d2bb9d2b91ada7c,cdm_run_v61566590059089,a horse,age4,horse_sketch_age4_cdm_run_v61566590059089.png,horse_sketch_age4_cdm_run_v61566590059089.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566590059089.png,6449,"['5f39a37c518ae254a2da84f9', '5f479154dc1bde17b64d7eb5']",2020-09-16 18:11:19.360,2
3896,5f6121a39d2bb9d2b91ada7d,cdm_run_v61566594919754,a horse,age4,horse_sketch_age4_cdm_run_v61566594919754.png,horse_sketch_age4_cdm_run_v61566594919754.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566594919754.png,6699,"['5f0d5e8b03b5db770f95690d', '5f4cb77384ba278c4622af23']",2020-09-16 18:11:44.099,2
3897,5f6121a39d2bb9d2b91ada7e,cdm_run_v61566672047220,a horse,age4,horse_sketch_age4_cdm_run_v61566672047220.png,horse_sketch_age4_cdm_run_v61566672047220.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566672047220.png,7791,"['5edd972e272a8eabd5ed1a4c', '56272eeeddff3c0011bcdb7e']",2020-09-16 18:13:04.737,2
3898,5f6121a39d2bb9d2b91ada7f,cdm_run_v61566677433247,a horse,age4,horse_sketch_age4_cdm_run_v61566677433247.png,horse_sketch_age4_cdm_run_v61566677433247.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566677433247.png,5480,"['545d347afdf99b7f9fca22c7', '5ef464392e23e1000bd397d7']",2020-09-16 18:09:54.453,2
3899,5f6121a39d2bb9d2b91ada80,cdm_run_v61566677767378,a horse,age4,horse_sketch_age4_cdm_run_v61566677767378.png,horse_sketch_age4_cdm_run_v61566677767378.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566677767378.png,3355,"['5e7575068134ad0dcf47202f', '59dc458f77860e000151240e']",2020-09-16 18:06:40.937,2
3900,5f6121a39d2bb9d2b91ada81,cdm_run_v61566685472586,a horse,age4,horse_sketch_age4_cdm_run_v61566685472586.png,horse_sketch_age4_cdm_run_v61566685472586.png,https://kiddraw.s3.amazonaws.com/horse_sketch_age4_cdm_run_v61566685472586.png,9337,"['5ed1717c9654ab0b17be2ceb', '5f556a46f0b6e193e149d8b8']",2020-09-16 18:20:03.144,2
