,ages,distinctiveness,class_labels
96,3,16.445851815119298,an airplane
97,3,35.71104173004904,an airplane
98,3,49.184347909232677,an airplane
99,3,8.5829377121832877,an airplane
100,3,30.651487216448778,an airplane
101,3,24.352028136995713,an airplane
102,3,40.230196343032958,an airplane
103,3,39.886786174625882,an airplane
104,3,23.333196046018649,an airplane
105,3,23.095183982659393,an airplane
106,3,54.885825654401053,an airplane
107,3,34.014624685135878,an airplane
108,3,12.677547722570523,an airplane
109,3,15.259252397111567,an airplane
110,3,7.4534116385537601,an airplane
111,3,10.937796886845362,an airplane
112,3,49.889887475916694,an airplane
113,3,20.501405721660355,an airplane
114,3,44.573487461259695,an airplane
115,3,30.014159692575575,an airplane
116,3,-3.7997619686510689,an airplane
117,3,24.427743184896702,an airplane
118,3,42.890297318253467,an airplane
119,3,-0.66786387874360287,an airplane
120,3,21.143275933812397,an airplane
121,3,3.1112627911878832,an airplane
122,3,32.013744156394722,an airplane
123,3,33.419691496451456,an airplane
124,3,32.93103985860202,an airplane
125,3,30.610401614922225,an airplane
126,3,9.2152249238977504,an airplane
127,3,13.664696808325708,an airplane
128,3,11.016204569704414,an airplane
129,3,31.037436363288784,an airplane
130,3,29.889524889552057,an airplane
131,3,13.53753224348074,an airplane
132,3,22.794874226088162,an airplane
133,3,18.185994669344296,an airplane
134,3,10.947174563088097,an airplane
135,4,41.12447482753241,an airplane
136,4,27.392781132098463,an airplane
137,4,45.622772857089302,an airplane
138,4,45.294282246382807,an airplane
139,4,67.444590731924933,an airplane
140,4,87.193373708494789,an airplane
141,4,30.359599613281908,an airplane
142,4,6.8043705572266333,an airplane
143,4,11.442649080882973,an airplane
144,4,-10.800767781803927,an airplane
145,4,54.628715619242072,an airplane
146,4,36.912912824942545,an airplane
147,4,15.4898651380988,an airplane
148,4,2.7265248898201122,an airplane
149,4,44.778501393362063,an airplane
150,4,24.678724991649609,an airplane
151,4,52.317732757672758,an airplane
152,4,50.445009906462332,an airplane
153,4,21.312530880725429,an airplane
154,4,18.693041539594532,an airplane
155,4,0.81453920709963512,an airplane
156,4,49.15113523557104,an airplane
157,4,14.166917136885452,an airplane
158,4,61.681937367372143,an airplane
159,4,7.5125752971844051,an airplane
160,4,42.386119976823466,an airplane
161,4,13.670760524263315,an airplane
162,4,22.37551576535401,an airplane
163,4,8.306880068521437,an airplane
164,4,26.465315621910001,an airplane
165,4,48.126247911819156,an airplane
166,4,47.932208389735727,an airplane
167,4,27.36964269037216,an airplane
168,4,28.833462358768486,an airplane
169,4,63.223948359954726,an airplane
170,4,34.018238686016431,an airplane
171,4,48.866352636899613,an airplane
172,4,55.123826973067068,an airplane
173,4,48.627379701303838,an airplane
174,4,5.9899547063075005,an airplane
175,4,41.532435661916914,an airplane
176,4,25.61899223045527,an airplane
177,4,50.152896867771233,an airplane
178,4,53.439112258825169,an airplane
179,4,8.8094759902521389,an airplane
180,4,17.050515740557806,an airplane
181,4,27.987568788663097,an airplane
182,4,36.662699717860669,an airplane
183,4,67.767611274141188,an airplane
184,4,17.372206885287319,an airplane
185,4,3.5667195697536584,an airplane
186,4,52.03501492431441,an airplane
187,4,36.87963547873477,an airplane
188,4,65.662163843615104,an airplane
189,4,0.65481139838500724,an airplane
190,4,15.624054576428232,an airplane
191,4,18.052748699734991,an airplane
