,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
306,cdm_run_v31526061922561,1,shape,age7,1526061997184.0,2018-05-11T18:06:37.184Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v31526061922561.png
307,cdm_run_v31526061922561,2,this circle,age7,1526062005265.0,2018-05-11T18:06:45.265Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526061922561.png
308,cdm_run_v31526061922561,3,a house,age7,1526062027979.0,2018-05-11T18:07:07.979Z,14,13.716,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age7_cdm_run_v31526061922561.png
309,cdm_run_v31526061922561,4,a car,age7,1526062039126.0,2018-05-11T18:07:19.126Z,3,3.126,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age7_cdm_run_v31526061922561.png
310,cdm_run_v31526061922561,5,a cup,age7,1526062050398.0,2018-05-11T18:07:30.398Z,3,3.516,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age7_cdm_run_v31526061922561.png
311,cdm_run_v31526061922561,6,a person,age7,1526062076416.0,2018-05-11T18:07:56.416Z,14,17.811,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age7_cdm_run_v31526061922561.png
312,cdm_run_v31526061922561,7,a boat,age7,1526062089064.0,2018-05-11T18:08:09.064Z,4,3.06,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age7_cdm_run_v31526061922561.png
313,cdm_run_v31526061922561,8,a dog,age7,1526062105917.0,2018-05-11T18:08:25.917Z,11,7.953,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age7_cdm_run_v31526061922561.png
314,cdm_run_v31526061922561,9,a tree,age7,1526062116420.0,2018-05-11T18:08:36.420Z,2,1.895,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age7_cdm_run_v31526061922561.png
315,cdm_run_v31526061922561,10,a fish,age7,1526062125752.0,2018-05-11T18:08:45.752Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age7_cdm_run_v31526061922561.png
316,cdm_run_v31526061922561,11,something you love,age7,1526062136679.0,2018-05-11T18:08:56.679Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age7_cdm_run_v31526061922561.png
